RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
394358,20,"Baltimore, MD",Msa,MD,303233.0,299900.0,304933.0,313300.0,326633.0,337967.0,345967.0,345967.0,341467.0,335130.0,328497.0,319997.0,313333.0,311667.0,316667.0,327699.0,339366.0,347699.0,350000.0,349967.0,346600.0,341600.0,334633.0,327967.0,322933.0,323233.0,329933.0,339443.0,347810.0,356143.0,363167.0,364833.0,361500.0,355000.0,348300.0,339967.0,332967.0,332967.0,339633.0,346633.0,355000.0,358300.0,361600.0,356567.0
394530,21,"Denver, CO",Msa,CO,"","","","","","","","",494667.0,487667.0,481000.0,477767.0,481438.0,493028.0,508261.0,519924.0,523667.0,522000.0,517000.0,509967.0,502967.0,497967.0,497967.0,501160.0,511810.0,528477.0,542283.0,545486.0,542186.0,542186.0,548333.0,551667.0,545598.0,533932.0,525265.0,526333.0,534333.0,548000.0,562833.0,580220.0,596887.0,612020.0,620916.0,622583.0
394982,22,"Pittsburgh, PA",Msa,PA,171567.0,169900.0,173233.0,177267.0,182967.0,184667.0,183967.0,181600.0,179900.0,178267.0,175933.0,172633.0,170933.0,171100.0,175767.0,182433.0,190133.0,195433.0,198767.0,199600.0,198967.0,195633.0,190967.0,184967.0,183300.0,186300.0,192933.0,197933.0,204900.0,214900.0,227600.0,234267.0,234300.0,233267.0,231600.0,229933.0,227967.0,229633.0,234300.0,241267.0,246267.0,246567.0,239900.0,231567.0
394998,23,"Portland, OR",Msa,OR,462508.0,468955.0,475417.0,481832.0,483443.0,483427.0,480204.0,473725.0,465667.0,459220.0,455997.0,454385.0,456001.0,459224.0,465671.0,470534.0,473789.0,473822.0,472049.0,468793.0,463958.0,459607.0,456416.0,456416.0,459317.0,467375.0,473822.0,473789.0,473789.0,475385.0,485087.0,489029.0,492881.0,496104.0,505023.0,514371.0,521760.0,524347.0,533300.0,549967.0,573300.0,588667.0,593333.0,586667.0
394458,24,"Charlotte, NC",Msa,NC,337967.0,338000.0,343000.0,349667.0,356300.0,358781.0,355764.0,349176.0,342028.0,335378.0,330525.0,326825.0,325158.0,328300.0,335000.0,343333.0,351633.0,356033.0,356033.0,352067.0,346967.0,344300.0,341633.0,342167.0,343035.0,346369.0,351202.0,352967.0,357633.0,362967.0,374167.0,379540.0,381622.0,378455.0,376715.0,374630.0,374597.0,376297.0,382530.0,394530.0,407526.0,414630.0,414663.0,408632.0
395045,25,"Sacramento, CA",Msa,CA,462983.0,468663.0,476663.0,484963.0,490967.0,491267.0,486800.0,480133.0,473000.0,466167.0,459467.0,456300.0,458300.0,466333.0,481000.0,492665.0,504632.0,513298.0,521600.0,522967.0,517933.0,509633.0,503296.0,504996.0,511330.0,521000.0,527667.0,528000.0,527667.0,529167.0,538833.0,547833.0,559663.0,568330.0,578330.0,585000.0,593000.0,596494.0,593160.0,601827.0,611667.0,625000.0,625000.0,619967.0
395055,26,"San Antonio, TX",Msa,TX,279967.0,280000.0,283000.0,288667.0,295095.0,298428.0,297761.0,293500.0,288478.0,283478.0,281562.0,280917.0,280916.0,280633.0,281633.0,284966.0,289983.0,292983.0,292950.0,289633.0,286600.0,283297.0,281297.0,278997.0,278633.0,278967.0,282633.0,286167.0,290167.0,293800.0,297300.0,299933.0,299600.0,297933.0,294410.0,290443.0,288076.0,288963.0,292963.0,298663.0,303833.0,312500.0,327051.0,340475.0
394943,27,"Orlando, FL",Msa,FL,299900.0,302952.0,309419.0,317786.0,323100.0,325000.0,324967.0,323267.0,319933.0,314933.0,308300.0,303267.0,299933.0,299933.0,303463.0,310163.0,318497.0,323333.0,325000.0,325000.0,325500.0,325500.0,325500.0,325000.0,324967.0,326600.0,328900.0,326180.0,322880.0,320910.0,325330.0,328663.0,330863.0,332363.0,332363.0,331467.0,328300.0,327130.0,328830.0,335497.0,343333.0,354967.0,366300.0,377967.0
394466,28,"Cincinnati, OH",Msa,OH,218300.0,219967.0,231600.0,248267.0,261600.0,267633.0,265967.0,259300.0,251933.0,245267.0,241633.0,236300.0,232967.0,236633.0,249967.0,266300.0,279600.0,285967.0,287967.0,284333.0,278567.0,271900.0,265533.0,261300.0,261267.0,269600.0,283233.0,295600.0,308967.0,322300.0,333300.0,334633.0,327667.0,319300.0,309630.0,305130.0,304830.0,313133.0,324600.0,338933.0,352357.0,355723.0,351390.0,338000.0
394475,29,"Cleveland, OH",Msa,OH,161233.0,161567.0,164900.0,171267.0,176267.0,181300.0,183300.0,183300.0,181600.0,179767.0,178133.0,176467.0,174800.0,176433.0,179767.0,184933.0,191300.0,196300.0,199300.0,196267.0,192933.0,188267.0,184933.0,181600.0,179900.0,180250.0,185283.0,191650.0,201300.0,209600.0,218267.0,221300.0,214633.0,206267.0,196567.0,192267.0,190467.0,197133.0,211133.0,226267.0,235300.0,233967.0,227000.0,214667.0
